iter	Logloss
0	0.6864141337
1	0.6796609497
2	0.6725168355
3	0.6659650675
4	0.6603356934
5	0.6549781291
6	0.6479379272
7	0.6393675741
8	0.6342163086
9	0.6288486735
10	0.6236597697
11	0.6176656087
12	0.611750234
13	0.6069007365
14	0.600755717
15	0.5948880005
16	0.5900758362
17	0.5849887594
18	0.5800290934
19	0.574536438
20	0.5700385539
21	0.5651376343
22	0.560836792
23	0.5553296916
24	0.5516108195
25	0.5473760986
26	0.5432532247
27	0.5388637288
28	0.5339754232
29	0.5299963379
30	0.525756073
31	0.522131958
32	0.5185770671
33	0.5146256002
34	0.5109245809
35	0.5069783529
36	0.5030032349
37	0.4996630859
38	0.4968068441
39	0.4930455526
40	0.4889414978
41	0.485243988
42	0.4818600464
43	0.4790030924
44	0.4756670125
45	0.472725474
46	0.46956014
47	0.4661543783
48	0.4631551107
49	0.4608261108
50	0.4580880737
51	0.454752655
52	0.4518728638
53	0.449357605
54	0.4466069539
55	0.4433848063
56	0.4404370626
57	0.43809316
58	0.4352689616
59	0.4325632222
60	0.4290137736
61	0.4260728963
62	0.4232155355
63	0.4201730855
64	0.4176696523
65	0.4154449209
66	0.4130981445
67	0.4109657033
68	0.4090233866
69	0.4063873037
70	0.4042791494
71	0.4018950399
72	0.3994292959
73	0.3977411143
74	0.3954224141
75	0.3933589427
76	0.3915174357
77	0.3898710632
78	0.3879469299
79	0.3859020487
80	0.383714269
81	0.3820598348
82	0.3803895569
83	0.3779592133
84	0.3758555603
85	0.3740589905
86	0.3720607503
87	0.3698085022
88	0.3679063924
89	0.3661800639
90	0.3650539144
91	0.3633306885
92	0.3616490173
93	0.3602207947
94	0.3583113352
95	0.3570373027
96	0.3552699788
97	0.3533731588
98	0.35133756
99	0.3499716441
100	0.3483039347
101	0.3473241679
102	0.3461272939
103	0.3448690287
104	0.3436410014
105	0.341794281
106	0.3405029806
107	0.3384365336
108	0.3370846558
109	0.3355450185
110	0.3339990743
111	0.3324449158
112	0.3308475749
113	0.3296876017
114	0.3283285014
115	0.3268611399
116	0.3255688985
117	0.32436704
118	0.3228286235
119	0.3213705444
120	0.3197011058
121	0.3183469645
122	0.316982549
123	0.3156385803
124	0.3143275706
125	0.3127184041
126	0.3118200684
127	0.3103609721
128	0.309124883
129	0.3080634562
130	0.3070043437
131	0.3058992767
132	0.305030721
133	0.3038123322
134	0.3026722717
135	0.3016175334
136	0.3006302389
137	0.2993590546
138	0.2981217702
139	0.2971551514
140	0.2960878245
141	0.2950184123
142	0.2940064494
143	0.2927107239
144	0.2917922211
145	0.2905315145
146	0.2895593262
147	0.2885746765
148	0.2872779083
149	0.2861766052
150	0.285151825
151	0.2840567017
152	0.282864151
153	0.2816997019
154	0.2803374736
155	0.2795296733
156	0.2783120219
157	0.2773311615
158	0.276339035
159	0.2750983429
160	0.2741241964
161	0.2732415263
162	0.2723509725
163	0.2715301005
164	0.2706143443
165	0.2698622131
166	0.26908343
167	0.2683171844
168	0.2672476705
169	0.2661162567
170	0.2652043152
171	0.2641613261
172	0.2633455658
173	0.2624335988
174	0.2615957133
175	0.2608250936
176	0.2599632772
177	0.2592426046
178	0.2582950846
179	0.2574744924
180	0.2566245015
181	0.2558331299
182	0.2551390584
183	0.254484787
184	0.2538550313
185	0.252833252
186	0.2518570455
187	0.2510738373
188	0.2502965291
189	0.249635493
190	0.2489127858
191	0.2481046804
192	0.2474317169
193	0.2466239421
194	0.2457920329
195	0.2448051707
196	0.2438946025
197	0.2431169383
198	0.2424641927
199	0.2415968068
200	0.2408981578
201	0.2400939941
202	0.2392845154
203	0.2386771139
204	0.2381547546
205	0.2375405884
206	0.2369195302
207	0.2362369792
208	0.235595932
209	0.2347171783
210	0.2341982015
211	0.2334733582
212	0.232649587
213	0.2318266296
214	0.2313001251
215	0.230522054
216	0.2298296865
217	0.2291518656
218	0.2284608968
219	0.2278477224
220	0.2271035258
221	0.2265561422
222	0.2258361816
223	0.2250659943
224	0.2244526164
225	0.223891449
226	0.2232077535
227	0.2225486247
228	0.2220391337
229	0.2214820353
230	0.2207607015
231	0.2200076294
232	0.2193062337
233	0.2187256368
234	0.2180347951
235	0.2174294027
236	0.2168565369
237	0.2162806447
238	0.2156496684
239	0.2150363159
240	0.2142773946
241	0.2135852051
242	0.2130080922
243	0.2122900263
244	0.2115768941
245	0.2110436249
246	0.2106526057
247	0.2099960581
248	0.2093242391
249	0.2087187576
250	0.2080325572
251	0.207544047
252	0.2070140076
253	0.2063686625
254	0.2060204569
255	0.2056678772
256	0.20498408
257	0.2043824259
258	0.2038017146
259	0.2032121785
260	0.2027788925
261	0.2021848424
262	0.2015044912
263	0.2009021759
264	0.2001676941
265	0.1996725845
266	0.1991167068
267	0.1985947927
268	0.198126475
269	0.1976530457
270	0.1971955363
271	0.1966291428
272	0.1961562856
273	0.1956500371
274	0.1950915909
275	0.1945842743
276	0.1940165456
277	0.19356486
278	0.1930414963
279	0.1926304118
280	0.1920611572
281	0.1914926656
282	0.1909863027
283	0.1904065959
284	0.1898695119
285	0.1893831253
286	0.1889631144
287	0.1884042613
288	0.1878642019
289	0.1873604584
290	0.1869728851
291	0.1865160878
292	0.1859021759
293	0.1854122543
294	0.1849192556
295	0.184508845
296	0.1840573374
297	0.1835297394
298	0.1829879506
299	0.1825457764
300	0.1820172882
301	0.181472524
302	0.1809539922
303	0.1805365753
304	0.1801123301
305	0.1795793152
306	0.1791169484
307	0.1786076864
308	0.1781683095
309	0.1777600861
310	0.1772981644
311	0.1767807515
312	0.176322937
313	0.1758470917
314	0.1754861832
315	0.1750067902
316	0.1745720037
317	0.1741013336
318	0.1736452738
319	0.1732661184
320	0.1728796641
321	0.1724973806
322	0.1720841726
323	0.1717550151
324	0.1713406372
325	0.1708405813
326	0.1704003398
327	0.170094223
328	0.169691925
329	0.1692237345
330	0.168715388
331	0.1683126704
332	0.1678395081
333	0.1674780019
334	0.1669730886
335	0.166516304
336	0.1660255178
337	0.1656380463
338	0.1653014119
339	0.1649863942
340	0.1645775223
341	0.1642088826
342	0.1636375682
343	0.1631755956
344	0.162811025
345	0.1624010722
346	0.1620465851
347	0.1617388153
348	0.1612046305
349	0.1608385468
350	0.1605541738
351	0.1601027044
352	0.1596825663
353	0.1592269897
354	0.1589660899
355	0.1585366567
356	0.1582878494
357	0.1578461711
358	0.1574893824
359	0.1571750387
360	0.1568363698
361	0.1565600586
362	0.1562785721
363	0.1558991496
364	0.1555418777
365	0.15516922
366	0.1548652649
367	0.1545195262
368	0.1541880671
369	0.1538065084
370	0.1534812419
371	0.1532136536
372	0.1527935282
373	0.1524526723
374	0.1520834732
375	0.1517813365
376	0.1513698832
377	0.1510258357
378	0.150827357
379	0.1504387665
380	0.1501440684
381	0.1497508113
382	0.1494353739
383	0.1491804759
384	0.1489159775
385	0.1485473251
386	0.1481967545
387	0.1477920024
388	0.1475311788
389	0.1471680705
390	0.1467219543
391	0.1462850189
392	0.1459687678
393	0.1456652196
394	0.1453057861
395	0.1449559148
396	0.1446123759
397	0.1443096415
398	0.1439069366
399	0.1435850652
400	0.1432259115
401	0.1429093043
402	0.1426102702
403	0.1422324117
404	0.1420219421
405	0.1416880671
406	0.1413094076
407	0.1409693273
408	0.1406520081
409	0.1402540843
410	0.1398987325
411	0.1396097438
412	0.1394293467
413	0.1391129303
414	0.138906161
415	0.1386655172
416	0.1384184774
417	0.1381230927
418	0.1378978475
419	0.137511673
420	0.1372439575
421	0.1369027583
422	0.1364503225
423	0.1362592189
424	0.1358643341
425	0.135543162
426	0.1352736664
427	0.1349723307
428	0.1347393036
429	0.1344657389
430	0.1341644287
431	0.1339207713
432	0.133579483
433	0.1333614858
434	0.1330637614
435	0.1328899384
436	0.1327107493
437	0.1323550797
438	0.1320450719
439	0.1317400614
440	0.1314270655
441	0.1310373433
442	0.1306960805
443	0.1303813426
444	0.1301308695
445	0.1299099604
446	0.1297283173
447	0.1294907125
448	0.1291825867
449	0.1289376195
450	0.1286288961
451	0.1283632406
452	0.1280768204
453	0.1278760529
454	0.1276266479
455	0.1274268087
456	0.1270947393
457	0.1268286387
458	0.1265714518
459	0.1262607066
460	0.1259962209
461	0.1257575353
462	0.1255001068
463	0.1250870005
464	0.1248041153
465	0.1245347341
466	0.1243012746
467	0.1240716553
468	0.1237801997
469	0.1235496394
470	0.123345782
471	0.1230450821
472	0.1227131144
473	0.1224448903
474	0.1221636963
475	0.1218818665
476	0.1214839045
477	0.1212092082
478	0.1209107971
479	0.1207064056
480	0.1205543391
481	0.1202319082
482	0.119847463
483	0.1194267654
484	0.1192984772
485	0.1189483897
486	0.1186039225
487	0.118380839
488	0.1180197016
489	0.1177542114
490	0.1175064341
491	0.1172802734
492	0.1171107992
493	0.1167762629
494	0.1165350596
495	0.1164822896
496	0.1162192535
497	0.1158909353
498	0.1156974538
499	0.1155291239
500	0.1153000259
501	0.1150069173
502	0.114742101
503	0.1145712662
504	0.1142662938
505	0.1140481822
506	0.1138481522
507	0.113619105
508	0.1133029683
509	0.1130482229
510	0.1128405507
511	0.1126485189
512	0.1124618657
513	0.1122538757
514	0.1120192464
515	0.1117555364
516	0.1115534719
517	0.1113995234
518	0.1112184397
519	0.1109177653
520	0.1106745656
521	0.1104714839
522	0.1102742767
523	0.1101000722
524	0.1098810323
525	0.1095886485
526	0.109356219
527	0.1091280619
528	0.1088986588
529	0.1085632324
530	0.1083619436
531	0.1081732432
532	0.1078853353
533	0.1076858012
534	0.1074119949
535	0.1071196111
536	0.1068918991
537	0.1066143417
538	0.1064255651
539	0.1060831706
540	0.1058623759
541	0.1055988948
542	0.1053171857
543	0.1051085027
544	0.1047942352
545	0.1045564715
546	0.1043014654
