iter	Passed	Remaining
0	240	240259
1	301	150359
2	350	116538
3	394	98190
4	455	90725
5	506	83836
6	557	79087
7	610	75640
8	663	73074
9	712	70576
10	760	68382
11	809	66611
12	857	65076
13	900	63448
14	946	62155
15	985	60617
16	1025	59286
17	1064	58072
18	1105	57055
19	1147	56225
20	1186	55316
21	1227	54588
22	1268	53890
23	1307	53159
24	1347	52547
25	1413	52953
26	1452	52344
27	1491	51771
28	1531	51277
29	1570	50771
30	1609	50323
31	1649	49902
32	1710	50137
33	1750	49738
34	1791	49407
35	1832	49080
36	1872	48747
37	1911	48392
38	1970	48556
39	2011	48280
40	2050	47954
41	2089	47651
42	2128	47380
43	2178	47336
44	2218	47078
45	2257	46822
46	2297	46591
47	2337	46353
48	2375	46106
49	2414	45877
50	2453	45658
51	2492	45439
52	2531	45237
53	2570	45028
54	2611	44863
55	2649	44668
56	2711	44861
57	2751	44682
58	2789	44490
59	2829	44323
60	2867	44144
61	2907	43981
62	2945	43807
63	2985	43661
64	3027	43549
65	3066	43395
66	3104	43231
67	3144	43099
68	3183	42956
69	3223	42830
70	3262	42686
71	3301	42547
72	3340	42425
73	3379	42285
74	3419	42168
75	3458	42046
76	3497	41921
77	3536	41803
78	3575	41678
79	3614	41563
80	3653	41449
81	3692	41337
82	3731	41229
83	3771	41125
84	3811	41026
85	3851	40931
86	3890	40832
87	3931	40746
88	3971	40655
89	4011	40558
90	4050	40456
91	4089	40360
92	4130	40279
93	4168	40172
94	4207	40080
95	4246	39988
96	4286	39905
97	4326	39816
98	4365	39732
99	4404	39636
100	4443	39547
101	4481	39458
102	4519	39363
103	4558	39277
104	4598	39192
105	4637	39110
106	4676	39029
107	4717	38960
108	4757	38893
109	4799	38834
110	4839	38760
111	4878	38677
112	4918	38609
113	4958	38537
114	4998	38463
115	5036	38381
116	5076	38310
117	5115	38238
118	5155	38168
119	5194	38094
120	5233	38018
121	5273	37954
122	5312	37881
123	5352	37810
124	5409	37869
125	5449	37797
126	5488	37724
127	5528	37661
128	5568	37595
129	5607	37525
130	5646	37453
131	5684	37382
132	5724	37315
133	5763	37249
134	5803	37182
135	5841	37109
136	5880	37041
137	5919	36977
138	5959	36916
139	5999	36852
140	6039	36791
141	6078	36729
142	6118	36669
143	6159	36614
144	6199	36555
145	6238	36490
146	6278	36431
147	6316	36362
148	6357	36311
149	6398	36259
150	6437	36193
151	6475	36128
152	6513	36060
153	6553	36001
154	6593	35945
155	6632	35881
156	6671	35820
157	6713	35775
158	6752	35717
159	6791	35657
160	6832	35605
161	6873	35555
162	6913	35499
163	6952	35439
164	6992	35384
165	7030	35323
166	7071	35270
167	7109	35211
168	7148	35149
169	7188	35098
170	7227	35037
171	7267	34985
172	7307	34931
173	7346	34875
174	7385	34817
175	7424	34760
176	7462	34700
177	7502	34647
178	7541	34590
179	7580	34534
180	7619	34476
181	7657	34418
182	7700	34377
183	7738	34319
184	7777	34262
185	7816	34209
186	7855	34152
187	7895	34101
188	7933	34044
189	7973	33990
190	8012	33938
191	8051	33882
192	8117	33942
193	8156	33885
194	8196	33835
195	8235	33781
196	8273	33725
197	8313	33675
198	8353	33622
199	8391	33565
200	8431	33514
201	8469	33457
202	8510	33414
203	8549	33359
204	8588	33305
205	8628	33255
206	8667	33202
207	8705	33149
208	8745	33099
209	8784	33045
210	8823	32992
211	8861	32937
212	8900	32887
213	8939	32834
214	8977	32778
215	9016	32726
216	9054	32672
217	9093	32618
218	9131	32566
219	9170	32512
220	9208	32458
221	9248	32410
222	9287	32360
223	9328	32315
224	9367	32267
225	9407	32216
226	9474	32261
227	9514	32217
228	9553	32164
229	9592	32115
230	9631	32064
231	9673	32021
232	9711	31970
233	9752	31923
234	9791	31875
235	9831	31826
236	9868	31772
237	9905	31714
238	9943	31661
239	9980	31604
240	10016	31546
241	10054	31493
242	10091	31437
243	10128	31380
244	10165	31327
245	10202	31269
246	10251	31252
247	10287	31195
248	10325	31141
249	10362	31088
250	10399	31032
251	10436	30978
252	10473	30923
253	10509	30866
254	10546	30813
255	10584	30760
256	10620	30705
257	10658	30654
258	10696	30602
259	10734	30550
260	10772	30502
261	10808	30446
262	10846	30393
263	10885	30346
264	10920	30290
265	10958	30238
266	10995	30186
267	11032	30133
268	11072	30088
269	11108	30034
270	11146	29984
271	11184	29934
272	11224	29891
273	11263	29844
274	11302	29798
275	11343	29756
276	11384	29714
277	11423	29669
278	11462	29621
279	11502	29577
280	11541	29531
281	11578	29480
282	11615	29428
283	11652	29377
284	11689	29326
285	11727	29277
286	11763	29224
287	11800	29174
288	11837	29123
289	11873	29070
290	11911	29022
291	11950	28975
292	11988	28927
293	12025	28877
294	12062	28826
295	12099	28776
296	12140	28735
297	12177	28685
298	12213	28635
299	12250	28585
300	12288	28537
301	12327	28491
302	12365	28445
303	12403	28396
304	12441	28349
305	12478	28300
306	12516	28253
307	12553	28203
308	12589	28153
309	12626	28104
310	12663	28055
311	12700	28005
312	12738	27959
313	12776	27912
314	12813	27865
315	12850	27815
316	12886	27765
317	12924	27717
318	12962	27671
319	12998	27621
320	13036	27575
321	13073	27527
322	13110	27478
323	13147	27431
324	13187	27389
325	13224	27342
326	13261	27294
327	13298	27245
328	13335	27198
329	13374	27153
330	13409	27103
331	13447	27056
332	13485	27012
333	13523	26966
334	13561	26920
335	13599	26876
336	13637	26828
337	13675	26784
338	13712	26737
339	13750	26692
340	13787	26645
341	13824	26597
342	13861	26550
343	13898	26504
344	13936	26459
345	13973	26412
346	14012	26369
347	14050	26324
348	14087	26277
349	14125	26232
350	14162	26186
351	14199	26140
352	14236	26094
353	14274	26048
354	14311	26003
355	14348	25955
356	14385	25910
357	14423	25866
358	14461	25821
359	14498	25774
360	14535	25729
361	14573	25685
362	14610	25639
363	14647	25592
364	14684	25547
365	14722	25503
366	14759	25456
367	14797	25412
368	14835	25368
369	14872	25324
370	14911	25281
371	14949	25236
372	14986	25191
373	15024	25147
374	15062	25104
375	15100	25060
376	15140	25019
377	15176	24973
378	15214	24929
379	15251	24883
380	15288	24838
381	15325	24793
382	15362	24749
383	15400	24705
384	15436	24658
385	15473	24613
386	15513	24572
387	15550	24528
388	15588	24484
389	15626	24441
390	15664	24397
391	15701	24353
392	15739	24310
393	15776	24264
394	15813	24220
395	15850	24175
396	15885	24128
397	15923	24085
398	15960	24040
399	15998	23997
400	16035	23952
401	16072	23909
402	16113	23869
403	16149	23824
404	16186	23780
405	16242	23763
406	16279	23718
407	16316	23675
408	16354	23631
409	16390	23586
410	16428	23542
411	16466	23500
412	16505	23458
413	16541	23413
414	16577	23368
415	16614	23324
416	16651	23280
417	16689	23237
418	16726	23193
419	16762	23148
420	16799	23103
421	16837	23061
422	16875	23018
423	16914	22977
424	16953	22936
425	16991	22895
426	17029	22852
427	17066	22808
428	17105	22767
429	17143	22724
430	17181	22682
431	17216	22636
432	17254	22593
433	17293	22552
434	17329	22508
435	17366	22464
436	17403	22421
437	17440	22378
438	17479	22337
439	17514	22291
440	17552	22248
441	17589	22205
442	17625	22161
443	17663	22118
444	17701	22077
445	17738	22033
446	17775	21991
447	17812	21947
448	17851	21907
449	17889	21864
450	17924	21819
451	17961	21776
452	17998	21733
453	18034	21689
454	18072	21646
455	18110	21605
456	18148	21563
457	18184	21519
458	18222	21477
459	18258	21433
460	18296	21392
